langname,glottocode,size
Iwaidja,iwai1244,3
Desana,desa1247,1
Ngandi,ngan1295,1
Muyuw,muyu1244,1
Amahuaca,amah1246,2
Ilongot,ilon1239,4
Jicaque,toll1241,3
Karok,karo1304,2
Nimboran,nucl1633,3
Northern Paiute,nort2954,4
Papago,toho1245,2
Smith River,tolo1259,2
Wik-Ngathana,wikn1245,2
Highland Tequistlatec,high1242,3
Juchitan Zapotec,zapo1437,5
Mitla Zapotec,mitl1236,3
Paumari,paum1247,2
Ritharngu,rita1239,2
Sanuma,sanu1240,2
Sahaptin,saha1240,7
Aguaruna Jivaro,agua1253,5
Akawaio,akaw1241,3
Araona,arao1248,3
Asurini,xing1248,3
Atapec Zapotec,yare1249,4
Bisa,bisa1264,4
Bontoc,guin1256,5
Brunei Malay,brun1243,4
Cantonese,cant1236,3
Carapana,cara1272,5
Central Cagayan Agta,cent2084,5
Chrau,chra1242,3
Chuj,chuj1250,3
Colorado,colo1256,4
Djinang,djin1253,4
Gaviao,para1315,3
Gouin,cerm1238,3
Hopi,hopi1249,3
Huastec,huas1242,4
Huichol,huic1243,4
Kaingang,kain1272,3
Kaiwa,kaiw1246,4
Kenyah,main1275,4
Keres,kere1287,4
Lowland Tequistlatec,lowl1260,4
Machiguenga,mach1267,3
Mara,mara1385,3
Mazatec,maza1295,4
Mele-Fila,mele1250,3
Michoacan Nahuatl,azte1234,4
Moore,moss1236,4
Nez Perce,nezp1238,3
Nuaulu,nuau1240,3
Nunggubuyu,nung1290,3
Penang Hokkien,fuji1236,4
Semai,sema1266,4
Shoshoni,shos1248,5
Sisaala,sisa1248,4
Songhay,song1307,4
Southern Tiwa,sout2961,4
Tarahumara,tara1321,3
Texmelucan Zapotec,texm1235,3
Upper Tanana,uppe1437,4
Western Aranda,west2441,4
Wik Monkan,wikm1247,3
Zoogocho Zapotec,zoog1238,4
Dalabon,ngal1292,3
Dugum Dani,midg1235,3
Kyaka Enga,kyak1244,4
Catawba,cata1286,4
Clallam,clal1241,5
Cora,cora1260,5
Ila,ilaa1246,4
Indonesian,indo1316,6
Kayan,kaya1333,4
Kayapo,kaya1330,5
Kikamba,kamb1297,4
Kugu-Nganhchara,kuku1283,4
Malagasy,mala1537,5
Mandarin,mand1415,4
Maxakali,maxa1247,4
Mende,mend1266,5
Navaho,nava1243,4
Northeastern Thai,nort2741,4
Omaha,omah1248,4
Pashto,pash1269,5
Sierra Popoluca,high1276,4
Southern Paiute,sout2969,6
Teen,teen1242,5
Tok Pisin,tokp1240,4
Western Subanun,west2811,4
Yaqui,yaqu1251,5
Awtuw,awtu1239,4
Central Carrier,carr1249,6
Daribi,dadi1250,5
Faiwol,faiw1243,4
Hewa,hewa1241,5
Ibataan,ibat1238,4
Igbira,ebir1243,5
Isirawa,isir1237,4
Kalam,kala1397,7
Lotuho,otuh1238,4
Makiritare,maqu1238,5
Melpa,melp1238,4
Muinane,muin1242,4
Pacaas Novos,wari1268,5
Patep,pate1247,4
Tepehua,tepe1243,5
Tewa,tewa1261,5
Tzeltal,tzel1254,4
Waodani,waor1240,4
Yolngu,yuul1239,6
Yurok,yuro1248,4
Koiwai,koii1238,4
Mokilese,moki1238,4
Tzotzil (Zincantan),tzot1259,5
Gimi,gimi1243,5
Maring (Tsembaga dialect),mari1435,5
Ndumba (Tairora),tair1260,5
American English,stan1293,8
Anindilyakwa,anin1240,5
Azande,zand1246,5
Chorti,chor1273,8
Classical Nahuatl,clas1250,5
Czech,czec1258,6
Delaware,comm1246,5
Eskimo,eski1265,7
Fipa,fipa1238,5
Fore,fore1270,6
Gbaya Kara,gbay1283,5
Hill Pandaram,mala1468,5
Japanese,nucl1643,7
Kilangi,lang1320,6
Komo,komo1260,6
Mataco,wich1261,6
Minnesota Ojibwa,chip1241,6
Montagnais (Cree),mont1268,6
Northern Ojibwa,nort2961,6
North Saami,nort2671,7
Siane,sian1257,6
Tifal,tifa1245,6
Daga,daga1275,5
Southern Paiute (Chemehuevi dialect),chem1251,5
Tahitian,tahi1242,9
